MusicRecording,name,byArtist,inAlbum,duration,DatePulished,composer,arranger,lyricist,musicGenre,inLanguage,publisher,mediaUrl,meaningfulTime,symbolizedEvent,symbolizedPerson,associatedPerson,symbolizedMood,descriptionStory,period,photograph,byCoverArtist
夜空中最亮的星,夜空中最亮的星,逃跑計畫,世界,PT4M12S,2011-4-12,逃跑計畫,逃跑計畫,逃跑計畫,搖滾,中文,美麗世界音樂,https://www.youtube.com/watch?v=GPnymcrXgX0,2017-09-09T20:13:34,2017暑北迎新晚會,交大北友會,林宏璠,對即將來臨的大學新生活感到興奮。,"第一次聽到是在2015台大管鑰營隊，在那裡看到許多很厲害的人，不只是成績好也多才多藝。
在晚會時聽到這首歌，一聽到就非常喜歡，後來也成為當時營隊的回憶歌曲，自我激勵。
高中考大學時，常常會聽這首歌，勉勵自己也可以上台大，跟他們一樣厲害。
後來考試有些失利，只得上交大。2017.9月剛到新竹準備新生活，在北友會的迎新活動上，又聽到這首歌。
當時的心情很興奮也很複雜，一來是對於新生活感的期待，二來也暗暗期許在未來四年可以成為心裡想像的那種人。",大一剛入學,P_20170909_201334,北友暑北迎新表演者
我想聽你聲音 Listen To Your Voice,我想聽你聲音 Listen To Your Voice,蔡恩雨 Priscilla Abby,Burn,PT5M4S,2017-12-20,Jaydon Joo,,GT Lim 林義忠,情歌,中文,,https://www.youtube.com/watch?v=MrqTX9Gw31Y,2017-12-21T13:06,追芷彤,葉芷彤,,喜歡現在的生活，期待未來的發展。,"跟系上的同學越來越好，正準備一起迎接跨年出去玩。當時正在追芷彤，而且關係也越來越好。
當時蔡恩雨剛發這首歌，聽到的時候覺得跟當時的心情很貼切，所以很喜歡這首歌。",大一上學期,P_20171221_1306,
妳,妳,丁飛,,PT3M39S,2019-1-12,,,,中國嘻哈,中文,,https://www.youtube.com/watch?v=QgSBdjUaO20,2018-01-10T22:26,開始聽嘻哈,,,覺得嘻哈饒舌很好聽，很新鮮。,以前沒聽嘻哈饒舌，這陣子開始聽，覺得很新鮮也覺得很好聽。,大一上學期,P_20180110_2226,
我喜歡妳,,,,,,,陳君豪 Howe,,,,,,,,,,,,,,
我喜歡妳,我喜歡妳,洪安妮 ANNI HUNG,我喜歡你,PT4M14S,2018-2-12,,保卜Baobu Badulu,,情歌,中文, 唐果娛樂股份有限公司TurnR Entertainmen,https://www.youtube.com/watch?v=aDSf3QoK3uQ,2018-03-10T03:10,熱舞open house表演,,,偶然聽到這首歌覺得很甜很開心。,熱舞生活與課業交有部分有點忙碌，而且也沒有什麼成就感。偶然聽到這首歌覺得很甜很開心。,後大一時期,P_20180310_0310,
我的事不關你的事 Not Your Business,,賴慈泓,,,,,,,,,,,,,,,,,,,
我的事不關你的事 Not Your Business,我的事不關你的事 Not Your Business,孫盛希 Shi Shi,生存指南,PT3M16S,2018-2-26,賴慈泓,陳品先,賴慈泓,流行,中文,Rock Records 滾石國際音樂股份有限公司,https://www.youtube.com/watch?v=nBWE_oD4Pag,,追芷彤,葉芷彤,,覺得生活很空虛，很想要逃離這個世界。,覺得被生活壓得喘不過氣，主要是在愛情上停滯且後退，想努力卻不知道該怎麼辦。在社團與交際上豪無成就感，比起大一時的生活差距很大，毫無歸屬，甚至空虛的感覺。,後大一時期,P_20180328_0141,
潘柯夫,潘柯夫,潘柯夫,,4:42,2018-12-17,潘柯夫,潘柯夫,潘柯夫,抖音,中文,,https://www.youtube.com/watch?v=uOuuDWQTBkc,2018-04-02T0043,追芷彤,葉芷彤,,覺得感情一直硬撐很心累。,跟芷彤的關係降到冰點，有點漸行漸遠。半夜想起覺得心很累，想要放飛又放不下。,大一下,P_20180402_0043,
我還年輕我還年輕,我還年輕我還年輕,老王樂隊,吾十有五而志於學,5:55,2017-10-3,老王樂隊,,張立長,台灣獨立,中文,,https://www.youtube.com/watch?v=NbNPJr_0tqA,2018-05-03T11:26,愛上獨立樂團,,,覺得老王樂隊的歌爆幹好聽。,第一次聽老王樂隊的歌，正好對應到當時的生活。,大一下,P_20180503_1126,
兄弟沒夢不應該,,,,,,,,,,,,,,單攻海之聲,,,,,,,
